,0,1
0,on,2537
1,earnings,2381
2,ceo,2148
3,call,1977
4,results,1951
5,to,1944
6,2019,1694
7,in,1239
8,inc,1236
9,the,1144
10,q4,984
11,of,981
12,q3,922
13,a,877
14,and,840
15,for,839
16,stock,753
17,is,649
18,2020,466
19,with,390
20,stocks,379
21,as,355
22,new,333
23,its,330
24,should,314
25,you,313
26,buy,280
27,coronavirus,279
28,what,277
29,corporation,268
30,from,245
31,at,238
32,announces,227
33,it,220
34,last,215
35,says,211
36,market,203
37,up,198
38,will,195
39,after,190
40,this,181
41,be,179
42,down,178
43,since,163
44,&,162
45,s,162
46,can,158
47,company,154
48,are,152
49,growth,149
50,shares,145
51,q1,143
52,group,142
53,over,141
54,dividend,136
55,holdings,135
56,q2,135
57,that,134
58,3,133
59,top,133
60,by,132
61,moves,130
62,more,130
63,could,126
64,but,120
65,million,117
66,corp,116
67,an,114
68,0,112
69,energy,111
70,5,110
71,has,105
72,investors,101
73,billion,101
74,out,100
75,u,100
76,time,97
77,than,95
78,amazon,94
79,737,93
80,high,92
81,about,92
82,into,91
83,etfs,89
84,year,89
85,why,88
86,2,87
87,revenue,87
88,max,87
89,business,86
90,amid,84
91,big,82
92,china,82
93,all,82
94,report:,81
95,not,80
96,covid,80
97,financial,79
98,next,78
99,boeing,77
100,international,77
101,apple,77
102,have,77
103,tech,76
104,first,73
105,management,72
106,pay,71
107,therapeutics,71
108,right,71
109,value,70
110,reports,70
111,sales,69
112,mark,68
113,still,67
114,health,67
115,due,66
116,talks,66
117,pharmaceuticals,66
118,vs,65
119,1,64
120,data,63
121,strong,63
122,may,62
123,deal,62
124,long,62
125,offering,61
126,quarter,61
127,production,61
128,price,61
129,19,61
130,term,60
131,tesla,60
132,jim,59
133,us,59
134,david,59
135,off,58
136,systems,58
137,technologies,58
138,technology,58
139,these,57
140,etf,57
141,gains:,57
142,best,57
143,4,56
144,gains,56
145,one,55
146,public,55
147,ahead,54
148,000,54
149,electric,54
150,investment,54
151,$1,54
152,medical,54
153,yield,53
154,cash,53
155,pricing,53
156,sell,53
157,your,52
158,workers,52
159,buy:,52
160,capital,52
161,john,51
162,cloud,51
163,how,51
164,global,51
165,airlines,51
166,week,51
167,just,51
168,facebook,50
169,fell,50
170,oil,49
171,trade,49
172,buying,49
173,home,49
174,great,48
175,reasons,48
176,brands,48
177,ltd,47
178,transcriptwhy,47
179,now,46
180,'s,46
181,back,45
182,mobile,45
183,against,45
184,take,45
185,no,44
186,employees,44
187,netflix,44
188,google,44
189,report,43
190,cramer,43
191,gold,43
192,wall,42
193,good,42
194,bank,42
195,companies,42
196,street,41
197,microsoft,41
198,short,41
199,higher,41
200,during,41
201,provides,41
202,key,40
203,biggest,40
204,healthcare,40
205,retail,40
206,6,40
207,co,40
208,stores,40
209,future,39
210,plc,39
211,american,39
212,michael,39
213,common,38
214,hit,38
215,watch,38
216,partners,38
217,despite,38
218,plans,38
219,some,38
220,another,38
221,steve,38
222,their,37
223,better,37
224,streaming,37
225,annual,37
226,7%,37
227,buys,37
228,cannabis,37
229,limited,37
230,industries,37
231,two,36
232,help,36
233,5%,36
234,drug,36
235,reportedly,35
236,beat,35
237,7,35
238,before,35
239,ceo:,35
240,gets,35
241,services,35
242,make,35
243,get,34
244,general,34
245,record,34
246,bancorp,34
247,power,34
248,2%,34
249,under,34
250,10,34
251,4%,34
252,acquisition,34
253,revenues,33
254,much,33
255,california,33
256,expected,33
257,week:,33
258,set,33
259,software,33
260,low,33
261,scott,33
262,cut,32
263,beyond,32
264,test,32
265,close,32
266,end,32
267,trust,32
268,6%,32
269,it's,32
270,jumped,32
271,senior,32
272,even,32
273,—,32
274,holiday,32
275,jeff,32
276,transcriptthe,32
277,prices,31
278,asset,31
279,beats,31
280,solid,31
281,day,31
282,york,31
283,johnson,30
284,third,30
285,work,30
286,plan,30
287,5g,30
288,other,30
289,sinks,30
290,through,30
291,popped,30
292,pharma,30
293,analyst,30
294,3%,30
295,or,30
296,board,30
297,launch,30
298,e,30
299,contract,30
300,profit,29
301,quarterly,29
302,free,29
303,target,29
304,go,29
305,most,29
306,if,29
307,preview:,29
308,disney,29
309,things,29
310,positive,29
311,fda,29
312,mike,29
313,worth,28
314,delivery,28
315,small,28
316,potential,28
317,store,28
318,like,28
319,realty,28
320,8%,28
321,income,28
322,offer,28
323,continues,28
324,bill,28
325,demand,28
326,report?why,28
327,latest,27
328,sees,27
329,looking,27
330,update,27
331,earnings:,27
332,unveils,27
333,tim,27
334,merger,27
335,online,27
336,auto,27
337,media,27
338,11,27
339,cuts,26
340,hits,26
341,com,26
342,i,26
343,looks,26
344,lags,26
345,outpaces,26
346,chief,26
347,1%,26
348,air,26
349,james,26
350,yielding,26
351,incorporated,26
352,9%,26
353,weekly:,26
354,we,25
355,going,25
356,fourth,25
357,which,25
358,chinese,25
359,food,25
360,t,25
361,car,25
362,union,25
363,digital,25
364,rally,25
365,products,25
366,service,25
367,flight,25
368,chip,25
369,tom,25
370,kevin,25
371,approval,25
372,share,25
373,fund,24
374,support,24
375,major,24
376,own,24
377,full,24
378,continue,24
379,nearly,24
380,soared,24
381,way,24
382,calls,24
383,need,24
384,bullish,24
385,investor,24
386,makes,24
387,bet,24
388,look,24
389,reach,24
390,growing,24
391,uber,24
392,court,24
393,model,24
394,factory,24
395,momentum,24
396,cap,24
397,chris,24
398,dan,24
399,resources,24
400,was,24
401,portfolio,23
402,phase,23
403,outlook,23
404,marijuana,23
405,sale,23
406,know,23
407,dropped,23
408,insider,23
409,near,23
410,communications,23
411,properties,23
412,open,23
413,brian,23
414,networks,23
415,8,23
416,solutions,23
417,net,23
418,biotech,23
419,20,23
420,trial,22
421,holding,22
422,zuckerberg,22
423,antitrust,22
424,market:,22
425,fall,22
426,trading,22
427,9,22
428,opens,22
429,iphone,22
430,see,22
431,world,22
432,takes,22
433,care,22
434,dollar,22
435,',22
436,guidance,22
437,keep,22
438,opportunity,22
439,robert,22
440,surge,22
441,joseph,22
442,greg,22
443,warehouse,22
444,here's,22
445,rebound?why,22
446,virus,22
447,$10,21
448,faces,21
449,safety,21
450,restaurant,21
